#Name,Brand,color,Link,wish,review
Adidas Puppylette Core Black,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/80617 ,4685,28
Jordan 1 Retro High OG Bleached Coral,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/60302 ,34000,944
(W) Nike Zoom Vomero 5 Oatmeal,Nike,"{'name': 'Oriental Pink', 'RGB': (198, 145, 145)}",https://kream.co.kr/products/81176 ,2281,72
Maison Mihara Yasuhiro Hank OG Sole Canvas Low-top Sneakers Black,Mihara Yasuhiro,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/25729 ,2329,53
(W) Nike Air Force 1 Low Gorge Green,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/76190 ,10000,110
Nike LeBron XX EP White Metalic Gold,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/83796 ,106,0
(W) Nike Air Force 1 '07 Low Triple Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/18402 ,13000,51
Jordan 1 Retro High OG University Blue,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/27986 ,48000,4990
New Balance x Malbon 997 Golf Sand,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/79207 ,270,7
Nike x J.Crew Killshot 2 Sail Midnight Navy,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/9655 ,30000,411
Jordan 1 Retro High OG Shadow 2.0,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/34102 ,31000,2290
(W) Jordan 1 Mid Sail Stealth,Jordan,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/79762 ,3786,19
New Balance 990v2 Made in USA Black True camo,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/69174 ,990,13
Jordan 1 Mid Dark Teal,Jordan,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/42320 ,19000,377
Nike x Sacai VaporWaffle Black and Gum,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/41020 ,6492,399
Jordan 4 Retro White and Black,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/60301 ,4757,171
Nike Dunk Low Retro Valerian Blue,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/59968 ,35000,419
Nike Dunk Low Retro Championship Court Purple,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/47887 ,27000,976
Jordan 1 Retro High OG Taxi,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72385 ,11000,610
Nike x Stussy Air Max 2013 Fossil,Nike,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/71988 ,9088,263
Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/25620 ,32000,5980
New Balance 990v3 Made in USA Moonbeam Macadamia Nut,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/66886 ,3073,56
(W) Nike Dunk Low White and Sail,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73756 ,9760,47
Nike Air Force 1 '07 LV8 Athletic Club Light Smoke Grey Marina,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/50233 ,34000,302
Nike Air Force 1 Mid '07 WB Flax,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/42229 ,6705,216
New Balance 990v3 Made in USA Grey 2021 - D Standard,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/43144 ,5882,70
(W) Jordan 1 Low OG Starfish,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/39519 ,17000,1036
(W) Nike Dunk Low Next Nature Lilac,Nike,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/69304 ,13000,74
Nike Dunk Low Retro White Neutral Grey,Nike,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/79958 ,995,6
Nike Air Force 1 Mid '07 QS Chocolate,Nike,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/64170 ,6646,157
(W) Autry Medalist Low Goatskin Sneakers White,Autry,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48530 ,3400,35
New Balance 574 Heritage Orange Burst White,New Balance,"{'name': 'Merlot', 'RGB': (131, 25, 35)}",https://kream.co.kr/products/74712 ,5839,69
Nike x Jacquemus Air Humara LX Light Bone and Gold,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/67715 ,6373,57
New Balance x JJJJound 990v3 Brown Black,New Balance,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/61046 ,4695,93
Golden Goose Superstar White Silver Heel Tab Sneakers,Golden Goose,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/35172 ,1228,45
Jordan 1 Retro High OG Patent Bred,Jordan,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/45326 ,12000,1451
(W) Nike Air Force 1 '07 SE 40th Anniversary Join Forces Sail Malachite,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/79366 ,3105,17
Adidas Superstar Premium White Black,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/36113 ,15000,228
(GS) Nike Dunk Low PRM Halloween,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/43774 ,15000,337
(GS) Nike Air Force 1 LE White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/31419 ,25000,158
New Balance 2002R Eclipse Castlerock,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/76941 ,4874,61
