Name,Brand,Colors,Link,wish,review
(W) Nike Air Force 1 Low Gorge Green,Nike,"[(197, 190, 180, 51), (30, 59, 35, 21), (158, 115, 72, 11), (180, 140, 95, 9)]",https://kream.co.kr/products/76190 ,10000,110
Nike LeBron XX EP White Metalic Gold,Nike,"[(206, 208, 204, 61), (129, 141, 151, 10), (89, 61, 62, 8)]",https://kream.co.kr/products/83796 ,106,0
(W) Nike Air Force 1 '07 Low Triple Black,Nike,"[(26, 26, 26, 53), (36, 36, 36, 18), (44, 44, 44, 12), (52, 52, 52, 9)]",https://kream.co.kr/products/18402 ,13000,51
Jordan 1 Retro High OG University Blue,Jordan,"[(213, 218, 227, 49), (143, 171, 204, 24), (42, 46, 54, 14), (102, 128, 170, 8)]",https://kream.co.kr/products/27986 ,48000,4990
New Balance x Malbon 997 Golf Sand,New Balance,"[(200, 198, 193, 63), (52, 51, 50, 16), (237, 233, 224, 13)]",https://kream.co.kr/products/79207 ,270,7
Nike x J.Crew Killshot 2 Sail Midnight Navy,Nike,"[(214, 208, 198, 49), (157, 118, 81, 25), (39, 51, 62, 10)]",https://kream.co.kr/products/9655 ,30000,411
Jordan 1 Retro High OG Shadow 2.0,Jordan,"[(206, 206, 206, 52), (50, 50, 50, 21)]",https://kream.co.kr/products/34102 ,31000,2290
(W) Jordan 1 Mid Sail Stealth,Jordan,"[(168, 170, 172, 59), (230, 232, 228, 13), (110, 113, 118, 13)]",https://kream.co.kr/products/79762 ,3786,19
New Balance 990v2 Made in USA Black True camo,New Balance,"[(20, 19, 19, 53), (201, 196, 185, 36)]",https://kream.co.kr/products/69174 ,990,13
Jordan 1 Mid Dark Teal,Jordan,"[(34, 48, 58, 55), (216, 217, 218, 40)]",https://kream.co.kr/products/42320 ,19000,377
Nike x Sacai VaporWaffle Black and Gum,Nike,"[(35, 36, 35, 83), (123, 94, 71, 8)]",https://kream.co.kr/products/41020 ,6492,399
Jordan 4 Retro White and Black,Jordan,"[(195, 193, 194, 72), (45, 43, 45, 16)]",https://kream.co.kr/products/60301 ,4757,171
Nike Dunk Low Retro Valerian Blue,Nike,"[(51, 68, 85, 46), (204, 206, 209, 41)]",https://kream.co.kr/products/59968 ,35000,419
Nike Dunk Low Retro Championship Court Purple,Nike,"[(59, 47, 91, 48), (202, 201, 205, 40)]",https://kream.co.kr/products/47887 ,27000,976
Jordan 1 Retro High OG Taxi,Jordan,"[(204, 198, 183, 34), (34, 27, 24, 33), (191, 125, 18, 25)]",https://kream.co.kr/products/72385 ,11000,610
Nike x Stussy Air Max 2013 Fossil,Nike,"[(188, 171, 151, 72), (224, 215, 198, 9)]",https://kream.co.kr/products/71988 ,9088,263
Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,Nike,"[(222, 222, 222, 77), (37, 36, 36, 13)]",https://kream.co.kr/products/25620 ,32000,5980
New Balance 990v3 Made in USA Moonbeam Macadamia Nut,New Balance,"[(230, 222, 214, 70), (80, 79, 81, 16), (137, 133, 134, 9)]",https://kream.co.kr/products/66886 ,3073,56
(W) Nike Dunk Low White and Sail,Nike,"[(214, 213, 207, 83)]",https://kream.co.kr/products/73756 ,9760,47
Nike Air Force 1 '07 LV8 Athletic Club Light Smoke Grey Marina,Nike,"[(185, 185, 184, 73), (24, 94, 121, 9)]",https://kream.co.kr/products/50233 ,34000,302
Nike Air Force 1 Mid '07 WB Flax,Nike,"[(145, 113, 62, 90)]",https://kream.co.kr/products/42229 ,6705,216
New Balance 990v3 Made in USA Grey 2021 - D Standard,New Balance,"[(134, 138, 139, 71), (209, 213, 214, 13)]",https://kream.co.kr/products/43144 ,5882,70
(W) Jordan 1 Low OG Starfish,Jordan,"[(204, 201, 203, 44), (186, 35, 27, 31), (46, 38, 40, 10), (225, 95, 71, 8)]",https://kream.co.kr/products/39519 ,17000,1036
(W) Nike Dunk Low Next Nature Lilac,Nike,"[(155, 159, 192, 64), (212, 213, 215, 27)]",https://kream.co.kr/products/69304 ,13000,74
Nike Dunk Low Retro White Neutral Grey,Nike,"[(163, 162, 167, 64), (94, 93, 98, 10), (222, 221, 225, 9), (206, 205, 208, 8)]",https://kream.co.kr/products/79958 ,995,6
Nike Air Force 1 Mid '07 QS Chocolate,Nike,"[(87, 54, 48, 60), (199, 179, 160, 28)]",https://kream.co.kr/products/64170 ,6646,157
(W) Autry Medalist Low Goatskin Sneakers White,Autry,"[(215, 211, 187, 92)]",https://kream.co.kr/products/48530 ,3400,35
New Balance 574 Heritage Orange Burst White,New Balance,"[(121, 32, 20, 53), (174, 161, 146, 30)]",https://kream.co.kr/products/74712 ,5839,69
Nike x Jacquemus Air Humara LX Light Bone and Gold,Nike,"[(214, 205, 194, 76), (96, 58, 46, 10)]",https://kream.co.kr/products/67715 ,6373,57
New Balance x JJJJound 990v3 Brown Black,New Balance,"[(45, 44, 39, 88), (91, 87, 71, 8)]",https://kream.co.kr/products/61046 ,4695,93
Golden Goose Superstar White Silver Heel Tab Sneakers,Golden Goose,"[(230, 228, 226, 85)]",https://kream.co.kr/products/35172 ,1228,45
Jordan 1 Retro High OG Patent Bred,Jordan,"[(22, 19, 20, 45), (145, 23, 26, 28), (218, 211, 214, 18)]",https://kream.co.kr/products/45326 ,12000,1451
(W) Nike Air Force 1 '07 SE 40th Anniversary Join Forces Sail Malachite,Nike,"[(198, 196, 192, 83), (24, 115, 81, 10)]",https://kream.co.kr/products/79366 ,3105,17
Adidas Superstar Premium White Black,Adidas,"[(220, 219, 214, 51), (200, 193, 147, 27), (48, 48, 46, 14)]",https://kream.co.kr/products/36113 ,15000,228
(GS) Nike Dunk Low PRM Halloween,Nike,"[(211, 210, 192, 51), (40, 40, 39, 34), (227, 83, 22, 9)]",https://kream.co.kr/products/43774 ,15000,337
(GS) Nike Air Force 1 LE White,Nike,"[(220, 220, 220, 88)]",https://kream.co.kr/products/31419 ,25000,158
